stone,chakra,description,hardness,physical_description
amethyst,"[6, 7]","Amethyst is a powerhouse stone. It vibrates at a high frequency, creating a bubble of spiritual protection against negative energy. It awakens higher consciousness, assists in wise decision-making free of emotional confusion, and facilitates meditation and intuition.",7.0,"Amethyst is a purple variety of quartz crystal. Its purple color ranges from light lavender to dark violet and it is usually translucent. Like all quartz, purple amethyst gemstones are a commonly used crystal in metaphysical work. Amethyst is found in many parts of the world. Only a few countries provide darker high-quality gemstones. Other common varieties of quartz include rose quartz and carnelian.
Many stones have fake varieties but there’s no real point to making synthetic amethyst because natural amethyst is common and inexpensive. The only thing you need to look out for is glass that is only purple colored but fancily named amethyst.
Amethyst is a 7 on the Mohs scale of hardness. The only difference between regular clear quartz crystal and amethyst is the color. The purple is caused by iron and aluminum that were present while the stone was forming. Amethyst is always a shade of purple, sometimes very light, other times very dark. Occasionally you will find red dots or red or blue hues in the stone.
Amethyst and citrine are closely related. Citrine is formed when amethyst is exposed to heat when forming. Sometimes people even call citrine “burnt amethyst”. When citrine and amethyst are found together in one piece, it is called ametrine and is very sought after.
Amethyst is the birthstone for February. It also has meaning to the astrological signs Pisces, Aries, Aquarius, and Sagittarius.
Amethyst crystal is produced in Russia, India, Brazil, US, Canada, Australia, and South Korea.
Amethyst jewelry and other uses date back to Neolithic times 25,000 years ago. It has often been associated with royalty, and used in crowns and royal rings. It was once a precious stone, but it is now common enough to be considered semi-precious.
Yes! It is perfectly safe to submerge amethyst crystals in water. Feel free to shower and bathe with your amethyst, or put it in your water bottle to make a crystal elixir.
There are many ways to cleanse, clear, and activate crystals. The most popular ones are to run it under water, submerge it in a clear stream, put it out in the moonlight, put it near a healthy houseplant, set it on a selenite plate, burn sage or palo santo, or use chimes or singing bowls. Whatever makes you feel clear and peaceful will also help your crystals.
Yes, if left in sunlight, amethyst can begin to fade. It won’t become a different color, but it will become more pale.
If heat-treated at very high temperatures, amethyst can turn golden-yellow or green, but that won’t happen at home. 😉
Amethyst is the birthstone for February.
Yes! We have a whole page of Amethyst Engagement Rings.
The word amethyst comes from Greek and means “to not intoxicate”. Amethyst meaning among ancient Greeks and Romans included being used to cure drunkenness. Amethyst has also been used for help with insomnia, grief, and addictions.
Amethyst gemstones are very popular in jewelry. They are hard enough to be durable and are readily available and affordable. Even high-grade material is relatively inexpensive. They are also available in a huge range of sizes and shapes. Amethyst jewelry is beautiful, powerful, and beneficial!
"
ametrine,[6],"Ametrine combines the healing properties of Amethyst and Citrine, two of the most powerful healing crystals you can work with. Ametrine helps you find clarity, make decisions, and move forward powerfully in alignment with your spiritual path.",,"Ametrine is a combination of amethyst and citrine, which are both varieties of quartz. Citrine is formed when amethyst is exposed to heat, whether naturally or artificially. Ametrine is thus a stone which has been partially transformed from amethyst to citrine, retaining properties of both.
"
ammonite,,,4.0,
analcime,,,5.25,
anatase,,,5.75,
andalusite,,,7.5,
andesine,,,6.25,
angel aura quartz,,"Angel Aura Quartz is an enhanced version of clear quartz. It has a light, sweet energy that elevates your mood and brings a sense of peace and tranquility.",,"Angel Aura Quartz is an iridescent gemstone made by heating quartz crystals and then coating them in powdered silver and platinum. The process creates a beautiful rainbow sheen that is permanent.
"
angelite,[5],"Angelite helps with communication with your angels and Spirit guides. It radiates serenity, helping you to shift into a peaceful state of mind.",,"Angelite is the trade name for a variety of blue anhydrite found in Peru. Anhydrite is a soft calcium sulfate mineral, around 3.5 on the Mohs scale of mineral hardness.
"
anglesite,,,3.25,
anhydrite,,,3.5,
ankerite,,,3.75,
anorthoclase,,,6.25,
apache tears,,"Apache Tears are helpful for surfacing grief held in the emotional body in order to cleanse and heal old trauma or wounds from a previous life. They also have the protective and cleansing properties of obsidian, in an easy to carry form.",,"A form of obsidian, these nuggets are usually round or oval, black-brown in color, and can be semi-transparent or translucent when polished and held up to light. The name is the result of a legend surrounding the grief of the wives and families of a group of Apache warriors who lept to their death from a cliff after being surrounded and outnumbered in a battle with the U.S. cavalry in the 1870s.
"
apatite,[5],Green apatite helps sooth the nervous system and maintain inner balance. Blue apatite enhances psychic awareness and opens the mind to insight and inspiration.,5.0,"Apatite is not a well known gemstone, and actually has more uses outside the field of jewelry. Apatite is a soft stone, and can be very brittle.
Apatite is a mineral that sits at a five on the Mohs Scale. Most commonly seen in green tones, it can also bee found in yellows, pinks, browns, violets, and blues. Apatite crystals typically grow in hexagonal (six sided) shapes.
The name apatite is derived from Greek meaning “to deceive” likely because it was often mistaken for other, more valuable gemstones, like peridot, tourmaline, and emerald. Apatite is found in igneous, sedimentary, and metamorphic rock, but only the latter grows larger crystals suitable for jewelry.
Apatite is found in many different parts of the world: Eastern Canada, Germany, India, Madagascar, Brazil, Burma, Mexico, Czechoslovakia, Mozambique, Norway, South Africa, Spain, Sri Lanka, and the United States.
Because apatite is so soft, a lot of people will lean away from putting apatite in jewelry. However, if a setting is carefully chosen, it can result in a beautiful piece. When shopping for apatite, remember that the more intense the color, the more it is worth.
"
apophyllite,,,4.75,
aquamarine,[5],"Aquamarine cools anger and helps create a calm, centered, relaxed but alert state with balanced energy. It is a stone of the Divine Feminine–teaching a form of power that is yielding and yet resilient, and letting you speak your truth clearly from a place of inner knowing rather than reactivity.",7.75,"Aquamarine is a brilliant, blue colored gemstone. The color of aquamarine ranges from pale blue to dark blue, and sometimes a bluish green. It is sometimes mistaken for the less expensive blue topaz.
Aquamarine sits at a 7.5 – 8 on the Mohs scale (somewhere between quartz and topaz). It is a member of the beryl family, along with emerald, morganite, and bixbite (red emerald). Aquamarine’s name comes from Latin, meaning water and sea.
The best quality aquamarine sources are in Brazil. It is also found in Russia, Nigeria, Zambia, Madagascar, Mozambique, Afghanistan, Pakistan, and parts of the United States.
Aquamarine is a favorite stone of many:
In the past, sailors wore aquamarine to ward off seasickness and encourage safe travel. Some saw it as a stone of eternal youth.
Because aquamarine is a hard stone, it is safe for all forms of jewelry, such as rings, pendants, and earrings. It is also hard enough to be faceted for fine jewelry, making it suitable for engagement rings.
Clean your aquamarine often to keep it stunning. The color pales when dirt collects around the stone. Keep this in mind when buying lighter or pale colored stones.
Be careful not to mistake blue topaz gemstones for aquamarine. Topaz is beautiful as well, but is less expensive than aquamarine. Another imitation of aquamarine is a form of spinel called aquamarine spinel.
Aquamarine gems are often heat treated to enhance the color. When purchasing one of these stones, be sure to ask if it is natural or treated.
"
aragonite,,"Aragonite bolsters the strength of your emotional core, helping you confront painful feelings and embrace past wounds. This clears the way for lasting positive emotional states. Because it acts to balance the energy system and chakras, it is both calming and energizing.",3.75,"Aragonite is a calcium carbonate mineral, like calcite, but slightly harder. It can be found in various colors such as red, white, gray, and blue. Also like calcite, it can be found in the shells of many sea animals, and is a component of pearls.
"
augelite,,,4.75,
aventurine,,Green aventurine is known as the “Lucky Talisman” or “Stone of Opportunity” for its good luck properties. Its deeper purpose is help you release old habits and patterns so you are ready for new opportunities and growth and can move forward with confidence.,7.0,"Aventurine is a member of the quartz family, along with carnelian, amethyst, and citrine. It is commonly found in a forest green color, but can also be found in orange, yellow, brown, gray, and blue.
Aventurine can be recognized by the flecks of mineral inclusions that give it a sparkly look. Because of this, aventurine is sometimes mistaken for goldstone, which is a man-made sparkly glass material. Side by side, goldstone’s flecks look unnaturally uniform compared to aventurine.
Aventurine sits at a 6.5 on the Mohs Scale. Aventurine’s name comes from Italian, “A Ventura”, meaning “by chance”.
Aventurine is found in many places in the world such as Brazil, China, Japan, Russia, Tanzania, and the United States. Green Aventurine is most commonly found in India, while Chile, Spain, and Russia account from good quality white, gray, orange, and gray material.
Aventurine is a common and inexpensive gemstone that is available in many different shapes and styles.
Aventurine is the star sign for Libra, and the planetary stone for Taurus. It is also the gemstone for your 8th year of marriage.
"
axinite,,,6.75,
azurite,[6],"Azurite stimulates the third-eye chakra, enhancing inner vision, dreams, and psychic powers. It helps with learning concepts, and ideas–anything related to insight, the mind, understanding, making connections, and seeing possibilities.",3.75,"Azurite is a deep dark blue colored mineral found all over the world. Azurite has been used in jewelry and other adornments since ancient times, and in modern times has been used for centuries as a pigment or dye as well as in jewelry.
Azurite is a fairly soft mineral, only a 3.5-4 on the Mohs scale of hardness. Azurite is often found growing alongside malachite, sometimes even growing together in one stone. Geologists and mineralogists use azurite to approximate the location of copper deposits as azurite (as well as malachite) are byproducts of copper, forming as the deposit weathers.
Azurite is found in many parts of the world including the United States, Australia, Chile, Peru, France, Namibia, Russia, and Egypt.
Azurite is a similar blue color to lapis lazuli, although the latter has glittery inclusions that are not present in azurite.
Azurite loses the intensity of its color over time if exposed to light, heat, and open air. Its softness means it will not hold up in all settings and because heating destroys azurite, only cold settings can be used. When wearing azurite, be careful to not wear it for long periods of time outside, and store it in a sealed container if possible away from harder stones that could scratch it. This will help maintain the brilliant color.
"
baryte,,,3.25,
barytocalcite,,,4.0,
bayldonite,,,4.5,
benitoite,,,6.25,
beryllonite,,,5.75,
bismutotantalite,,,5.0,
bixbyite,,,6.25,
black tourmaline,"[1, 6]",Black tourmaline is ideal for clearing and protecting the aura from negative influences. It helps us connect to the Earth and know we belong here.,,"Tourmaline comes in several colors, like black, red, pink, green, and a green and pink combo called watermelon tourmaline. Black tourmaline is sometimes called schorl. Black tourmaline is the most affordable color.
"
bloodstone,[1],"Bloodstone assists us in facing the hard realities and challenges of Earthly life with courage and nobility. It does this by strengthening the root chakra, purifying the aura, and grounding one fully in the physical body. By bringing the subtle body into balance, it bolsters our inner vitality and gives us the heart to make necessary sacrifices, look at painful truths, or endure physical trials.",,"Bloodstone is a forest green variety of jasper (a type of chalcedony) with red inclusions that give it its name. Its mineral name is heliotrope. Sometimes yellow jasper is also found in bloodstone, but it is not typical.
It is a relatively hard stone, a 7 on the Mohs Scale of Hardness. Bloodstone is found primarily in India, but also found in Australia, Brazil, China, Russia, and the Czech Republic.
In the Middle Ages, people believed the red spots found on bloodstone were drops of the blood of Jesus that turned to stone when they fell from his body onto the earth during the crucifixion.
Bloodstone has a unique and uncommon color combination, which can sometimes make it challenging to combine with other beads in jewelry without the results seeming too “busy”. Therefore it may be best suited as a solo piece such as in a pendant.
No two pieces are alike. Quality, location, and other factors affect the look of a finished bloodstone piece, so matching new pieces with an existing piece can prove difficult. If you are purchasing a pendant in this stone, it would be worthwhile asking if there are any other accessories on site that were cut from the same slab, as this will likely be your best match.
Bloodstone was the traditional birthstone for March. March’s birthstone is now Aquamarine, with Bloodstone listed as one of its alternative stones.
"
blue chalcedony,,"Blue chalcedony helps soothe fears & anxieties below the level of your conscious awareness, helping you stay in the present and deal with life in a calm and centered way.",,"Chalcedony is a subset of quartz. Other chalcedony stones include agate, bloodstone, carnelian, chrysoprase, jasper, and onyx.
Blue chalcedony can be confused with blue lace agate. They can be a similar blue color, but blue lace agate has lacy white banding, whereas blue chalcedony is generally a solid color. Technically, agate is also a chalcedony, it just is not usually referred to that way.
"
blue kyanite,[5],,,
blue lace agate,,Blue lace agate is ideal for situations where you know you must speak up and don’t feel confident that you can find the right words. It helps you speak your truth with conviction in a way others can understand.,,"Agate is a member of the quartz family of minerals and is a 7 on the Mohs scale of hardness. Blue lace agate contains bands of light blue and white and is fairly commonly available.
"
boleite,,,3.25,
boracite,,,7.25,
bornite,,,3.0,
brazilianite,,,5.5,
breithauptite,,,5.5,
bronzite,,,5.5,
brookite,,,5.75,
brucite,,,2.5,
bustamite,,,5.75,
bytownite,,,6.25,
cacoxenite,,,3.5,
calcite,,"There are many varieties of calcite, and each has specific properties. In general, calcite is gentle and revitalizing and works to clear energy blockages in the body’s energy systems. Pictured is orange calcite, which works with the 2nd and 3rd chakras, healing and giving energy toward creativity, sexuality, and the will. You can match the color of calcite to the chakra it works with: Blue = Throat, Green & Pink = Heart, Red = Root.",3.0,"Calcite is a soft stone consisting of calcium carbonate. It is abundantly available and occurs in a variety of colors, and ranges from transparent to opaque.
"
canasite,,,5.75,
cancrinite,,,5.5,
carletonite,,,4.25,
carnelian,[2],"Carnelian is about action. By activating the first three chakras, Carnelian provides a powerful boost to your willpower, with the physical energy and drive to back it up. If your heart wants something, carnelian can give you the confidence and power to go for it.",,"A reddish-orange, or reddish-brown colored gemstone from the chalcedony family of quartz. It has a warm, uniform, and easily distinguishable color.
Carnelian sits at a 6.5 – 7 on the Mohs scale. It is a member of the quartz family. Carnelian is derived from the Latin word meaning horn. Carnelian is also spelled ‘cornelian’ and has also been referred to as Mecca Stone, Pigeon’s blood Agate, and Sadoine.
The best quality carnelian is found in India but it is also found in many other parts of the world including Uruguay, Brazil, Japan, Botswana, and Madagascar. In the United States, carnelian can be found in Texas, North Carolina, Colorado, and Florida.
Carnelian  is relatively inexpensive. It is often found in antique jewelry and provides a perfect surface for engraving. Carnelian is usually fashioned in a cabochon cut and accents especially well on silver. Its translucency is especially apparent in pendants, and it is how many people prefer to wear this beautiful gemstone. Carnelian works well with fall colors.
Carnelian is sometimes listed as a birthstone for August and the astrological sign Virgo.
"
cassiterite,,,6.5,
catapleiite,,,5.5,
celestine,,,3.25,
celestite,[7],"Celestite is a sweet, uplifting gemstone that brings a peaceful, serene energy to any setting.",,"Celestite (also known as Celestine) is a soft mineral made of strontium sulfate. It is only around 3 on the Mohs scale of hardness, which means it’s important to protect your celestite gems and jewelry from getting scratched by metal and harder gemstones.
Celestite is most commonly sold in the light blue-grey color, although other colors exist.
"
ceruléite,,,5.5,
cerussite,,,3.25,
chabazite,,,4.5,
chalcedony,,,6.75,
chalcocite,,,2.75,
chalcopyrite,,,3.75,
chambersite,,,7.0,
charoite,,"Charoite helps the wearer have a wider perspective on life, seeing the day to day events within a larger pattern of the Universe unfolding. This leads to a sense of peace and the wisdom to discern the best use of one’s energy.",4.75,"Charoite is striking purple stone found only in a small area of Siberia in Russia near the Chara River, which it was named after. It is a silicate mineral and was discovered in the 1940s. It is also sometimes called cherolite.
It ranges in shade from purple to lavender and has swirly patterns that can include white and black that are reminiscent of a Van Gogh painting.
"
childrenite,,,5.0,
chiolite,,,3.5,
chlorapatite,,,5.0,
chondroite,,,6.25,
chromdravite,,,7.0,
chromite,,,5.5,
chrysoberyll,,,8.5,
chrysocolla,,"There are many forms of power. Chrysocolla empowers the Divine feminine, and the power of true wisdom to teach and transform. By activating the throat and the heart chakras, it supports you to speak the wisdom that lives in the deepest part of you, which may even surprise yourself. ",3.0,"Chrysocolla is a very soft stone, only a 2 to 4 on the Mohs Scale, making it hard to turn into jewelry unless it is mixed with a harder stone. It is found in a bluish green color that reminds many people of how earth looks from space.
Chrysocolla grows in large sizes and in not considered rare or hard to find. It is found in the Czech Republic, Israel, England, Congo, and the United States. In the U.S. Chrysocolla is found in Utah, Arizona, New Mexico, and Pennsylvania. Chrysocolla is often found alongside quartz, copper minerals, azurite, and limonite.
Chrysocolla is very soft, which makes it difficult on its own to work with. This beautiful stone can be found, however, mixed with quartz or in a druzy style that is attractive and easier to work with.
"
chrysoprase,[4],"Chrysoprase reminds and reassure you of your heart connection to others and to the Earth. It is one of the best stones for healing a broken heart and preparing your heart for a new relationship. It also helps when facing threatening situations, strengthening your ability to stay centered in your heart and act from compassion rather than fear or anger. ",6.75,"Chrysoprase is a member of the quartz family and is a variety of chalcedony. It is usually found in a beautiful apple green color, but sometimes is found in a deeper green. Chrysoprase is translucent and very bright in color.
Chrysoprase sits at a 6-7 on the Mohs Scale. The name chrysoprase comes from Greek meaning gold leek. Chrysoprase is also sometimes referred to as “Australian Jade”.
The best quality chrysoprase seems to be coming from Australia, but it is also found in Queensland, Germany, Tanzania, Poland, Russia, and Brazil. In the United States it is found in Arizona and California.
Chrysoprase is one of the rarer members of the quartz family and many people consider it to be a prized piece in their collections. Chrysoprase unique color comes from the traces of nickel found in it.
"
cinnabar,,,2.25,
citrine,[3],"To manifest your dreams, you first need to know what they are. By activating both your imagination and your will, citrine helps you clearly envision what you want, and then gives you the persistence to see it through.",7.0,"Citrine is a beautiful yellow gemstone with a color that ranges from light to dark. High quality citrine is transparent, while lower grade style, like those used in beading, can have an opaque look to it. Citrine is sometimes mistaken for the more expensive yellow topaz.
Citrine sits at a 7 on the Mohs Scale. It is a member of the quartz family along with onyx, carnelian, and amethyst.
Natural citrine is very rare and is found in small amounts in only a few places in the world. Russia, Spain, France, and Hungary are known for natural citrine. Most citrine you see on the market is actually amethyst or smoky quartz that has been heat treated. The heat treatment changes to color of the stone to a shade of yellow. It is difficult to tell natural citrine from heat treated citrine unless you are a gemologist and know what to look for.
There aren’t many yellow gemstones, and there are even fewer that are affordable. Citrine is a wonderful option that offers a wide range of color in the yellow spectrum. When buying any citrine bead or stone, if it isn’t specified, you should assume you are dealing with a heat treated stone.
Natural citrine has always been rare, and this technique of heat treating other quartz stones has been commonplace for many years. In the gemstone business, this is believed to be common knowledge, so heat treating in this particular case is not considered to be enhancing the stone, simply making it available to the general public.
Citrine is the birthstone for November, and the planetary stone for Virgo. Citrine is also the gemstone for the 13th and 17th year of marriage.
"
clinochrysotile,,,2.5,
clinoenstatite,,,5.5,
clinohumite,,,6.0,
clinozoisite,,,6.5,
cobaltite,,,5.75,
colemanite,,,4.5,
coral,[2],,3.5,
cordierite,,,7.25,
covellite,,,1.5,
creedite,,,3.75,
crocoite,,,2.75,
cryolite,,,2.5,
crystal quartz,[1],,,
crystal quarz,[7],,,
cuprite,,,3.75,
danburite,,,7.25,
datolite,,,5.25,
davidite,,,5.5,
descloizite,,,3.25,
diamond,,"Diamonds encourage stepping up and stepping into your true power to be a force for good in the world–that is, accepting and fulfilling your spiritual destiny. They encourage you to see, seek, and radiate the Light within yourself. They are intense stones! Note: Rough/natural diamond crystals are more effective for metaphysical work than cut diamonds (and a lot more affordable!). ",10.0,
diamonds,,,,"Diamonds are pure carbon and are the hardest of any stone. They are generally thought of as clear, but actually come in many colors.
Raw or rough diamonds can also be used for metaphysical or spiritual healing and are much, much less expensive than cut diamonds.
Simulated diamonds are not diamonds, they just look like they could pass for diamonds. Many stones are sold to look like diamonds, such as cubic zirconia, white sapphire, spinel, or zircon.
Synthetic diamonds are lab-created diamonds. They are the same material as diamonds that are mined from the ground, but they are human-made.
Pave diamonds are real diamonds that are very small, and generally of lower quality that are set as accents in one or more rows. Pave is therefore a type of setting rather than a type of diamond. It is sometimes used in combination with a larger, higher quality diamond to enhance the brilliance of the piece, as seen here.
"
diaspore,,,6.75,
dickinsonite,,,3.75,
diopside,,Diopside brings balance and relaxation by linking our energy field to that of the Earth.,5.5,"Diopside is a pyroxene silicate mineral with a monoclinic crystal structure. It is a medium-hard stone, sitting at around 5-6 on the Mohs scale.
Green is the most common type of gemstone-quality Diopside, often called Chrome Diopside due to chrome being the reason it is bright green. The second most common color is dark grey or black, which is sometimes cut to show a cat-eye or star effect and called Black Star Diopside.
"
dioptase,,,5.0,
dolomite,,,3.75,
dumortierite,,"Dumortierite is an indigo colored crystal that supports mental and psychic abilities, leading to deeper insight and understanding on all levels.",7.75,"Dumortierite is an aluminum boro-silicite mineral and is usually a dark blue or indigo color. Violet, red-brown, or blue-green dumortierite can also be found. Dumortierite crystallizes in the orthorhombic system and can be found in aluminum-rich metamorphic rock. Dumortierite can also be found as inclusions in quartz. Besides jewelry, dumortierite is also used to manufacture porcelain.
"
durangite,,,5.25,
ekanite,,,5.5,
emerald,,"Emerald is a pure activator of the heart chakra. It helps you stay centered in your heart’s wisdom, and make choices from love and compassion. It opens your heart to receiving the flow of universal abundance available to us all, and in this way is an abundance stone. Like chrysoprase, it can help heal heartbreak and nourish your emotional self.",7.75,"Emerald is a green variety of beryl. Emerald is considered a precious gem, and has been prized since ancient Egypt. The finest emeralds come from Columbia and the South American region in general.
"
enstatite,,,5.5,
eosphorite,,,5.0,
epidote,,,6.5,
ettringite,,,2.25,
euchroite,,,3.75,
euclase,,,7.5,
eudialyte,,,5.25,
euxenite,,,5.75,
fabulite,,,5.75,
fergusonite,,,5.75,
ferro-axinite,,,6.75,
ferrosilite,,,5.5,
flourapatite,,,5.0,
flourite,,,4.0,
fluorite,"[2, 6]","Fluorite clears and clarifies mental clutter. If you are confused and distracted by too many ideas, or worries about the future, fluorite will put your mental mess in order, enabling you to focus on what really matters. It’s a support for work that involves making subtle distinctions, or a lot of decisions in quick succession.",,"Pure fluorite is actually white or colorless, but trace minerals give it many colors. Fluorite is transparent in most cases. The most commonly recognized fluorite color is a purple-blue mix but it is also found in blue, green, red and yellow colors.
Fluorite sits at a 4 on the Mohs Scale, which is very soft. The word “flourescent” is derived from flourite. Flourescence is the property of emitting light that has been absorbed previously–in essence, glowing. Generally minerals that are flourescent absorb ultra-violet light and then emit visible light, therefore the effect can only be seen by shining a UV light (black light) on them.
Not all flourite is flourescent. Pieces harvested side by side from the same site can respond differently to black light–the effect depends on the exact mineral makeup of each specimen.
Fluorite is found in many parts of the world including Germany, Austria, Switzerland, England, Norway, Mexico, Canada (Ontario), and the U.S. The largest producer of fluorite in the U.S. is Illinois, and is in fact their state mineral. Fluorite is also found in Missouri, Oklahoma, Colorado, New Mexico, Kentucky, Arizona, Ohio, New Hampshire, New York and Texas.
Flourite is relatively inexpensive, and surprisingly durable despite its softness, making it an excellent option for many designs.
"
forsterite,,,7.0,
friedelite,,,4.5,
fuchsite,,,2.5,
gadolinite,,,6.75,
gahnite,,,7.75,
galaxite,,,7.75,
garnet,[1],"Garnets help you turn your visions into physical reality. The six types of garnets help with different types and levels of manifestation. The most represented in jewelry is pyrope garnet. This type of garnet helps the wearer release guilt and shame, open to receiving love, and walk forward with a sense of clarity and self-worth.",7.0,
garnets,,,,"Garnet is popularly known as a dark red gemstone, but it actually a group of gemstones that can be a variety of colors. It has been found as early as the Bronze Age and was known in Egypt and ancient Sumeria.
The six subtypes of garnet are:
Almandine and pyrope garnet are the most common in jewelry.
Garnet was named after the pomegranate and is the birthstone for January.
"
gaspéite,,,4.75,
gaylussite,,,2.75,
ggg,,,6.5,
goethite,,,5.25,
gold,,,2.75,
golden obsidian,,"Golden Obsidian (also called Gold Sheen Obsidian) activates the third chakra and aligns it with Divine will. This supercharges your ability to manifest and create success in the world. It can help in all issues related to the will, such as clearing the negative effects of abuse of power, clarifying your true motivations, and helping you express your gifts in the world.",,"A type of obsidian which occurs when gas bubbles from the original lava flow are trapped in the obsidian as it is forming. The impurities of the gasses cause a golden sheen to occur, giving the obsidian a golden appearance.
"
grandidierite,,,7.25,
green amethyst,,"Prasiolite (also known as green amethyst) acts as a bridge between the solar plexus chakra (seat of the will), the heart chakra, and the third eye and crown chakras. This makes it ideal for integrating the body, mind, and spirit into an integrated whole.",,"Prasiolite (more commonly known as “green amethyst”) is a pale green form of quartz. There is a small amount of natural prasiolite, but almost all prasiolite on the market is artificially produced by heat-treaing amethyst. Amethyst usually turns yellow or orange, producing citrine, but with the addition of radiation, it turns green. 
Technically, amethyst is by definition purple, so it doesn’t make a lot of sense to call prasiolite “green amethyst”, but the name seems to have stuck.
"
green aventurine,"[2, 4]",,,
green onyx,[4],,,
green tourmaline,,Green tourmaline is a soothing and stabilizing stone that boosts spiritual courage and physical vitality.,,"Tourmaline comes in several colors such as black, pink, green, blue, and red. It is a silicate mineral with a hardness is a 7 on the Mohs scale. It has a distinctive striated appearance because of the columnar formations it grows in.
Green tourmaline is sometimes called Verdelite.
"
greenockite,,,3.25,
grossular,,,6.75,
gypsum,,,2.0,
hambergite,,,7.5,
hancockite,,,6.5,
haüyne,,,5.75,
hedenbergite,,,6.0,
helvite,,,6.25,
hematite,[1],"Hematite is the most powerful gemstone to use for grounding. It can help you clear away confusion and orient you toward practical action in the real world. It brings the energy of higher consciousness down through the chakras to your root, and helps you transform that energy into physical reality.",6.0,"Hematite is the mineral form of iron oxide. Hematite beads are striking, being shiny and black when polished. They are heavy for their size.
There are man-made stones called magnetic hematite, hematine, hemalyke, or hemalike that look very similar to hematite and are far more commonly sold for jewelry-making than natural hematite. Some are made of a mixture of ground up hematite and other minerals, and some are made entirely of other minerals. They are often labelled as hematite, so check your sources when buying this stone.
"
hemimorphite,,,5.0,
herderite,,,5.25,
